id,brand,model,variant,cleaned,reason
22611,HONDA,STREAM,RSZ,HONDA STREAM RSZ,low score
56633,TOYOTA,VIOS,G,TOYOTA VIOS G,low score
104025,PERODUA,MYVI,G,PERODUA MYVI G,low score
63727,TOYOTA,VELLFIRE,Z,TOYOTA VELLFIRE Z,low score
50670,PORSCHE,CAYENNE,S,PORSCHE CAYENNE S,low score
61531,TOYOTA,HARRIER,GS,TOYOTA HARRIER GS,low score
61567,TOYOTA,YARIS,G,TOYOTA YARIS G,low score
66481,TOYOTA,VIOS,E,TOYOTA VIOS E,low score
66488,TOYOTA,RAV4,SPORTY,TOYOTA RAV4 SPORTY,low score
61568,TOYOTA,CAMRY,V,TOYOTA CAMRY V,low score
66482,TOYOTA,CAMRY,V,TOYOTA CAMRY V,low score
109080,PERODUA,MYVI,SE,PERODUA MYVI SE,low score
61551,TOYOTA,YARIS,G,TOYOTA YARIS G,low score
66503,TOYOTA,RAV4,,TOYOTA RAV4 ,low score
54103,TOYOTA,INNOVA,G,TOYOTA INNOVA G,low score
66506,TOYOTA,VELLFIRE,,TOYOTA VELLFIRE ,low score
66507,TOYOTA,VIOS,E,TOYOTA VIOS E,low score
107714,PERODUA,BEZZA,G,PERODUA BEZZA G,low score
7661,BMW,X,X1,BMW X X1,low score
66504,TOYOTA,VELLFIRE,,TOYOTA VELLFIRE ,low score
66517,TOYOTA,VIOS,J,TOYOTA VIOS J,low score
61566,TOYOTA,CAMRY,G X,TOYOTA CAMRY G X,low score
66511,TOYOTA,CAMRY,V,TOYOTA CAMRY V,low score
48312,PERODUA,MYVI,AV,PERODUA MYVI AV,low score
7656,BMW,X,X1,BMW X X1,low score
66522,TOYOTA,VIOS,E,TOYOTA VIOS E,low score
112156,TOYOTA,SIENTA,V,TOYOTA SIENTA V,low score
16254,HONDA,HR-V,I-VTEC E,HONDA HRV IVTEC E,low score
61585,TOYOTA,VIOS,E,TOYOTA VIOS E,low score
61574,TOYOTA,YARIS,E,TOYOTA YARIS E,low score
48059,PERODUA,AXIA,G,PERODUA AXIA G,low score
50999,PORSCHE,MACAN,,PORSCHE MACAN ,low score
51006,PORSCHE,CAYENNE,,PORSCHE CAYENNE ,low score
61599,TOYOTA,VIOS,E,TOYOTA VIOS E,low score
61595,TOYOTA,CAMRY,V,TOYOTA CAMRY V,low score
53680,TOYOTA,AVANZA,S,TOYOTA AVANZA S,low score
61614,TOYOTA,CAMRY,E,TOYOTA CAMRY E,low score
107253,PERODUA,AXIA,G,PERODUA AXIA G,low score
66573,TOYOTA,VELLFIRE,Z,TOYOTA VELLFIRE Z,low score
66582,TOYOTA,RUSH,S,TOYOTA RUSH S,low score
55686,TOYOTA,C-HR,,TOYOTA CHR ,low score
66583,TOYOTA,VIOS,G,TOYOTA VIOS G,low score
66590,TOYOTA,VIOS,J,TOYOTA VIOS J,low score
57227,TOYOTA,VELLFIRE,Z,TOYOTA VELLFIRE Z,low score
66593,TOYOTA,VIOS,E,TOYOTA VIOS E,low score
66595,TOYOTA,VIOS,G,TOYOTA VIOS G,low score
61646,TOYOTA,VIOS,E,TOYOTA VIOS E,low score
17777,HONDA,CR-V,I-VTEC,HONDA CRV IVTEC,low score
85582,VOLVO,XC60,T6,VOLVO XC60 T6,low score
48110,PERODUA,MYVI,EZI,PERODUA MYVI EZI,low score
66607,TOYOTA,INNOVA,G,TOYOTA INNOVA G,low score
61664,TOYOTA,WISH,S,TOYOTA WISH S,low score
61667,TOYOTA,86,,TOYOTA 86 ,low score
13983,HONDA,HR-V,I-VTEC V,HONDA HRV IVTEC V,low score
48150,PERODUA,ATIVA,AV,PERODUA ATIVA AV,low score
61743,TOYOTA,VIOS,E,TOYOTA VIOS E,low score
61738,TOYOTA,RUSH,S,TOYOTA RUSH S,low score
114115,KIA,CERATO,K3,KIA CERATO K3,low score
53988,TOYOTA,HARRIER,,TOYOTA HARRIER ,low score
66654,TOYOTA,WISH,X,TOYOTA WISH X,low score
12392,HONDA,CR-V,I-VTEC,HONDA CRV IVTEC,low score
85587,VOLVO,XC90,T8,VOLVO XC90 T8,low score
102511,PERODUA,ATIVA,AV,PERODUA ATIVA AV,low score
102513,PERODUA,MYVI,SE,PERODUA MYVI SE,low score
91703,MITSUBISHI,ASX,,MITSUBISHI ASX ,low score
66660,TOYOTA,VIOS,G,TOYOTA VIOS G,low score
56970,TOYOTA,VIOS,G,TOYOTA VIOS G,low score
48184,PERODUA,MYVI,G,PERODUA MYVI G,low score
51049,PORSCHE,911,GT3,PORSCHE 911 GT3,low score
51070,PORSCHE,MACAN,,PORSCHE MACAN ,low score
616,BMW,I,I7,BMW I I7,low score
49827,PORSCHE,MACAN,,PORSCHE MACAN ,low score
2109,BMW,X,X1,BMW X X1,low score
55040,TOYOTA,AVANZA,,TOYOTA AVANZA ,low score
7881,BMW,X,X4,BMW X X4,low score
16631,HONDA,HR-V,I-VTEC V,HONDA HRV IVTEC V,low score
85604,VOLVO,XC60,T8,VOLVO XC60 T8,low score
60287,TOYOTA,RUSH,S,TOYOTA RUSH S,low score
66672,TOYOTA,YARIS,G,TOYOTA YARIS G,low score
18270,HONDA,BR-V,V I-VTEC,HONDA BRV V IVTEC,low score
107718,PERODUA,ALZA,EZ,PERODUA ALZA EZ,low score
89554,KIA,RIO,,KIA RIO ,low score
66676,TOYOTA,YARIS,G,TOYOTA YARIS G,low score
66678,TOYOTA,CAMRY,V,TOYOTA CAMRY V,low score
10510,BMW,X,X4,BMW X X4,low score
61796,TOYOTA,VIOS,G,TOYOTA VIOS G,low score
61834,TOYOTA,VIOS,G,TOYOTA VIOS G,low score
61802,TOYOTA,CAMRY,G,TOYOTA CAMRY G,low score
56980,TOYOTA,VIOS,G,TOYOTA VIOS G,low score
51047,PORSCHE,CAYENNE,,PORSCHE CAYENNE ,low score
66689,TOYOTA,VIOS,J,TOYOTA VIOS J,low score
53777,TOYOTA,VIOS,G,TOYOTA VIOS G,low score
66695,TOYOTA,VIOS,G,TOYOTA VIOS G,low score
66701,TOYOTA,VIOS,E,TOYOTA VIOS E,low score
102527,PERODUA,MYVI,SE,PERODUA MYVI SE,low score
55165,TOYOTA,YARIS,E,TOYOTA YARIS E,low score
61799,TOYOTA,VIOS,J,TOYOTA VIOS J,low score
57022,TOYOTA,YARIS,G,TOYOTA YARIS G,low score
89865,MAZDA,8,,MAZDA 8 ,low score
66725,TOYOTA,CAMRY,V,TOYOTA CAMRY V,low score
53179,TOYOTA,WISH,Z,TOYOTA WISH Z,low score
25508,HONDA,CIVIC,VTEC,HONDA CIVIC VTEC,low score
59232,TOYOTA,VELLFIRE,,TOYOTA VELLFIRE ,low score
47630,PERODUA,BEZZA,G,PERODUA BEZZA G,low score
89552,KIA,FORTE KOUP,,KIA FORTE KOUP ,low score
66739,TOYOTA,WISH,G,TOYOTA WISH G,low score
66743,TOYOTA,INNOVA,G,TOYOTA INNOVA G,low score
54206,TOYOTA,RUSH,S,TOYOTA RUSH S,low score
55243,TOYOTA,CAMRY,G,TOYOTA CAMRY G,low score
61809,TOYOTA,VIOS,J,TOYOTA VIOS J,low score
73943,KIA,SPORTAGE,,KIA SPORTAGE ,low score
73884,KIA,CARNIVAL,YP,KIA CARNIVAL YP,low score
66755,TOYOTA,ESTIMA,,TOYOTA ESTIMA ,low score
111603,TOYOTA,VELOZ,,TOYOTA VELOZ ,low score
51106,PORSCHE,CAYENNE,,PORSCHE CAYENNE ,low score
61823,TOYOTA,VELLFIRE,-,TOYOTA VELLFIRE ,low score
97567,HONDA,CIVIC,EX,HONDA CIVIC EX,low score
112980,TOYOTA,VIOS,G,TOYOTA VIOS G,low score
66753,TOYOTA,VIOS,E,TOYOTA VIOS E,low score
52458,TOYOTA,INNOVA,G,TOYOTA INNOVA G,low score
19875,HONDA,CR-V,I-VTEC,HONDA CRV IVTEC,low score
52839,TOYOTA,VELLFIRE,Z,TOYOTA VELLFIRE Z,low score
102536,PERODUA,BEZZA,X,PERODUA BEZZA X,low score
89480,KIA,PICANTO,,KIA PICANTO ,low score
61881,TOYOTA,YARIS,E,TOYOTA YARIS E,low score
109100,PERODUA,AXIA,G,PERODUA AXIA G,low score
46969,PERODUA,AXIA,SE,PERODUA AXIA SE,low score
111604,TOYOTA,INNOVA,G,TOYOTA INNOVA G,low score
66807,TOYOTA,VIOS,E,TOYOTA VIOS E,low score
46960,PERODUA,MYVI,SE,PERODUA MYVI SE,low score
66800,TOYOTA,VIOS,J,TOYOTA VIOS J,low score
8047,BMW,X,X4,BMW X X4,low score
61883,TOYOTA,VELOZ,,TOYOTA VELOZ ,low score
73784,KIA,RIO,SX,KIA RIO SX,low score
25610,HONDA,BR-V,V I-VTEC,HONDA BRV V IVTEC,low score
102553,PERODUA,MYVI,EZI,PERODUA MYVI EZI,low score
55367,TOYOTA,VIOS,J,TOYOTA VIOS J,low score
102563,PERODUA,MYVI,SE,PERODUA MYVI SE,low score
109106,PERODUA,MYVI,H,PERODUA MYVI H,low score
13613,HONDA,HR-V,I-VTEC V,HONDA HRV IVTEC V,low score
102566,PERODUA,MYVI,AV,PERODUA MYVI AV,low score
51129,PORSCHE,MACAN,,PORSCHE MACAN ,low score
73766,KIA,RIO,SX,KIA RIO SX,low score
113019,TOYOTA,VIOS,G,TOYOTA VIOS G,low score
55412,TOYOTA,INNOVA,G,TOYOTA INNOVA G,low score
67062,AUDI,RS6,,AUDI RS6 ,low score
61946,TOYOTA,WISH,X,TOYOTA WISH X,low score
73783,KIA,CERATO,,KIA CERATO ,low score
107732,PERODUA,ARUZ,AV,PERODUA ARUZ AV,low score
17077,HONDA,CITY,HYBRID,HONDA CITY HYBRID,low score
102568,PERODUA,MYVI,X,PERODUA MYVI X,low score
