id,brand,model,variant,cleaned,matched_candidate,score,reason
38529,MERCEDES-BENZ,CLS350,350 STANDARD SPEC (CBU),MERCEDESBENZ CLS350 350 STANDARD SPEC CBU,MERCEDESBENZ CCLASS C200 15 SE,77,no match at all
38539,MERCEDES-BENZ,CLS350,350 STANDARD SPEC (CBU),MERCEDESBENZ CLS350 350 STANDARD SPEC CBU,MERCEDESBENZ CCLASS C200 15 SE,77,no match at all
23763,ALPINE,A110,EDC,ALPINE A110 EDC,MERCEDESBENZ SLCCLASS SLC300 20 AMG LINE,67,no match at all
23764,ALPINE,A110,EDC,ALPINE A110 EDC,MERCEDESBENZ SLCCLASS SLC300 20 AMG LINE,67,no match at all
23794,ASTON-MARTIN,DB11,V8 COUPE,ASTONMARTIN DB11 V8 COUPE,ASTON MARTIN NO GROUP V8 43 VANTAGE,64,no match at all
1718,ALFA-ROMEO,4C-SPIDER,20I COUPE,ALFAROMEO 4CSPIDER 20I COUPE,FIAT NO GROUP COUPE 20,55,no match at all
66674,ALFA-ROMEO,4C-SPIDER,30E SPORT,ALFAROMEO 4CSPIDER 30E SPORT,BMW NO GROUP GRAN COUPE M SPORT 15 218I,57,no match at all
66676,ALFA-ROMEO,4C-SPIDER,30E SPORT,ALFAROMEO 4CSPIDER 30E SPORT,BMW NO GROUP GRAN COUPE M SPORT 15 218I,57,no match at all
4657,ALFA-ROMEO,33,30I (CBU),ALFAROMEO 33 30I CBU,NISSAN NO GROUP FAIRLADY Z 30 300 ZX,55,no match at all
23761,ALPINE,A110,EDC,ALPINE A110 EDC,MERCEDESBENZ SLCCLASS SLC300 20 AMG LINE,67,no match at all
35536,MERCEDES-BENZ,A45,45 S,MERCEDESBENZ A45 45 S,MERCEDESBENZ SLCLASS SL350 35 AMG,86,no match at all
82843,IVECO,DAILY,36S13V,IVECO DAILY 36S13V,HONDA NO GROUP STREAM 18 IVTEC,50,no match at all
82844,JAC,T9,-,JAC T9 ,MERCEDESBENZ AMG GT AMG GT 40 BLACK SERIES,67,no match at all
6355,DONGFENG,BOX,E3,DONGFENG BOX E3,TOYOTA NO GROUP VELLFIRE 35 ROYAL LOUNGE SP,53,no match at all
69449,DONGFENG,BOX,E3,DONGFENG BOX E3,TOYOTA NO GROUP VELLFIRE 35 ROYAL LOUNGE SP,53,no match at all
70221,GAC AION,Y PLUS,ELITE,GAC AION Y PLUS ELITE,CITROEN NO GROUP C5 16 EXCLUSIVE ELITE,67,no match at all
70222,GMC,SAVANA,-,GMC SAVANA ,MERCEDESBENZ ECLASS E400 30 AVANTGARDE AMG SPORTS PACKAGE,70,no match at all
6688,GOLDEN DRAGON,X5,LUXURY,GOLDEN DRAGON X5 LUXURY,NISSAN NO GROUP GRAND LIVINA 16 LUXURY,61,no match at all
6687,GOLDEN DRAGON,X5,LUXURY,GOLDEN DRAGON X5 LUXURY,NISSAN NO GROUP GRAND LIVINA 16 LUXURY,61,no match at all
83530,KTM,X-BOW,-,KTM XBOW ,INOKOM NO GROUP I10 11,57,no match at all
39932,MERCEDES-BENZ,GLA200,200 (CBU),MERCEDESBENZ GLA200 200 CBU,MERCEDESBENZ ECLASS E200 18,80,no match at all
39879,MERCEDES-BENZ,GLA200,200 (CBU),MERCEDESBENZ GLA200 200 CBU,MERCEDESBENZ ECLASS E200 18,80,no match at all
