id,brand,model,variant,reason
5679,BMW,3 SERIES,320I,no candidate match
51212,TOYOTA,LAND CRUISER,ZX,low match score
5671,BMW,X,X5,no candidate match
5644,BMW,I,IX,no candidate match
68317,BENTLEY,CONTINENTAL GT,V8,low match score
6885,BMW,2 SERIES,218I,no candidate match
110734,TOYOTA,VELLFIRE,Z,low match score
5697,BMW,X,X3,no candidate match
51626,TOYOTA,ALPHARD,X,low match score
101079,MERCEDES-BENZ,S-CLASS,S400L,no candidate match
110163,TOYOTA,VOXY,GS,low match score
5736,BMW,X,X5,no candidate match
5735,BMW,X,X4,no candidate match
110164,TOYOTA,VIOS,J,low match score
59473,TOYOTA,INNOVA,X,low match score
110758,TOYOTA,WISH,S,low match score
101982,PERODUA,MYVI,H,low match score
110165,TOYOTA,RUSH,S,low match score
84909,VOLVO,XC90,T8,low match score
110166,TOYOTA,VELLFIRE,Z,low match score
4718,BMW,X,X5,no candidate match
110778,TOYOTA,VIOS,G,low match score
101081,MERCEDES-BENZ,B-CLASS,B200,no candidate match
110772,TOYOTA,CAMRY,G X,low match score
31911,PROTON,X50,PREMIUM,no candidate match
110782,TOYOTA,INNOVA ZENIX,V,low match score
5688,BMW,I,I4,no candidate match
52037,TOYOTA,CAMRY,G X,low match score
55430,TOYOTA,VIOS,G,low match score
5755,BMW,X,X3,no candidate match
110168,TOYOTA,COROLLA ALTIS,G,low match score
110806,TOYOTA,VIOS,E,low match score
10306,BMW,X,X5,no candidate match
60403,TOYOTA,INNOVA,G,low match score
47389,PERODUA,ARUZ,AV,low match score
5745,BMW,5 SERIES,530E,no candidate match
60568,TOYOTA,CAMRY,V,low match score
110817,TOYOTA,YARIS,G,low match score
5714,BMW,5 SERIES,530I,no candidate match
110818,TOYOTA,VIOS,E,low match score
5746,BMW,X,X5,no candidate match
53390,TOYOTA,VIOS,J,low match score
5723,BMW,X,X5,no candidate match
37065,MERCEDES-BENZ,GLC-CLASS,GLC250,no candidate match
110845,TOYOTA,CAMRY,V,low match score
111296,TOYOTA,CAMRY,V,low match score
110844,TOYOTA,ALPHARD,G SA,low match score
51342,TOYOTA,VIOS,G,low match score
27471,LEXUS,RC300,,missing cleaned source data
55616,TOYOTA,ALPHARD,,missing cleaned source data
110863,TOYOTA,VIOS,G,low match score
51371,TOYOTA,INNOVA,G,low match score
31932,PROTON,X50,EXECUTIVE,no candidate match
5721,BMW,X,X1,no candidate match
110880,TOYOTA,VIOS,G,low match score
110892,TOYOTA,CAMRY,V,low match score
4723,BMW,3 SERIES,318I,no candidate match
5731,BMW,X,X4,no candidate match
110904,TOYOTA,VIOS,G,low match score
5741,BMW,I,IX,no candidate match
110910,TOYOTA,INNOVA,G,low match score
55743,TOYOTA,COROLLA ALTIS,G,low match score
5749,BMW,X,X4,no candidate match
110992,TOYOTA,ESTIMA,,missing cleaned source data
52331,TOYOTA,CAMRY,V,low match score
51815,TOYOTA,VIOS,G,low match score
53613,TOYOTA,CAMRY,V,low match score
52388,TOYOTA,INNOVA,X,low match score
