id,brand,model,variant,reason
63834,TOYOTA,ALPHARD,G,low match score
4331,BMW,3 SERIES,330E,no candidate match
113065,TOYOTA,FORTUNER,SRZ,low match score
64372,TOYOTA,AVANZA,G,low match score
4438,BMW,X,X5,no candidate match
7783,BMW,I,I5,no candidate match
96562,BMW,M,M340I,no candidate match
60212,TOYOTA,RAV4,,missing cleaned source data
49344,PERODUA,AXIA,G,low match score
60645,TOYOTA,INNOVA,X,low match score
4593,BMW,I,IX,no candidate match
2052,BMW,X,X3,no candidate match
3247,BMW,1 SERIES,120I,no candidate match
60753,TOYOTA,FORTUNER,V,low match score
4585,BMW,X,X3,no candidate match
5877,BMW,6 SERIES,630I,no candidate match
88257,HONDA,ACCORD,VTI-S,low match score
34913,PROTON,X50,PREMIUM,no candidate match
60848,TOYOTA,COROLLA ALTIS,G,low match score
60917,TOYOTA,COROLLA ALTIS,E,low match score
60925,TOYOTA,COROLLA ALTIS,G,low match score
4662,BMW,5 SERIES,530E,no candidate match
64520,TOYOTA,VIOS,E,low match score
61020,TOYOTA,VIOS,G,low match score
16502,HONDA,N-BOX CUSTOM,G L,low match score
61172,TOYOTA,YARIS,G,low match score
61202,TOYOTA,COROLLA ALTIS,G,low match score
1740,BMW,I,I5,no candidate match
4699,BMW,2 SERIES,218I,no candidate match
64607,TOYOTA,AVANZA,,missing cleaned source data
6009,BMW,3 SERIES,330E,no candidate match
4759,BMW,X,X4,no candidate match
6192,BMW,X,X1,no candidate match
4753,BMW,5 SERIES,530E,no candidate match
37131,MERCEDES-BENZ,C-CLASS,C200,no candidate match
37169,MERCEDES-BENZ,A-CLASS,A180,no candidate match
1972,BMW,5 SERIES,520I,no candidate match
37245,MERCEDES-BENZ,A-CLASS,A200,no candidate match
39518,MERCEDES-BENZ,C-CLASS,C200,no candidate match
60189,TOYOTA,FORTUNER,G,low match score
105019,PERODUA,ATIVA,AV,low match score
60258,TOYOTA,CAMRY,V,low match score
39625,MERCEDES-BENZ,S-CLASS,S400L,no candidate match
1952,BMW,5 SERIES,530E,no candidate match
39706,MERCEDES-BENZ,GLC-CLASS,GLC300,no candidate match
91190,MINI,ONE,,missing cleaned source data
2476,BMW,X,X5,no candidate match
39757,MERCEDES-BENZ,E-CLASS,E200K,no candidate match
37872,MERCEDES-BENZ,G-CLASS,G63 AMG,no candidate match
39766,MERCEDES-BENZ,C-CLASS,C250,no candidate match
86085,BMW,X,X3,no candidate match
6467,BMW,3 SERIES,318I,no candidate match
42732,MERCEDES-BENZ,EQ,EQA 250,no candidate match
62394,TOYOTA,WISH,X,low match score
38300,MERCEDES-BENZ,GLC-CLASS,GLC250,no candidate match
38450,MERCEDES-BENZ,C-CLASS,C200,no candidate match
38469,MERCEDES-BENZ,C-CLASS,C200,no candidate match
49028,PERODUA,KELISA,EZ,low match score
62452,TOYOTA,YARIS,G,low match score
76840,MAXUS,G10,SE,low match score
40102,MERCEDES-BENZ,C-CLASS,C250,no candidate match
62520,TOYOTA,ALPHARD,G S,low match score
86240,BMW,3 SERIES,330E,no candidate match
38739,MERCEDES-BENZ,CLA-CLASS,CLA200,no candidate match
38788,MERCEDES-BENZ,E-CLASS,E250 CGI,no candidate match
40265,MERCEDES-BENZ,E-CLASS,E300,no candidate match
64882,TOYOTA,86,GT,low match score
40307,MERCEDES-BENZ,GLC-CLASS,GLC200,no candidate match
40365,MERCEDES-BENZ,C-CLASS,C200,no candidate match
38879,MERCEDES-BENZ,C-CLASS,C200,no candidate match
3100,BMW,3 SERIES,330E,no candidate match
73779,KIA,CARNIVAL,,missing cleaned source data
62577,TOYOTA,CAMRY,E,low match score
38964,MERCEDES-BENZ,A-CLASS,A35 AMG,no candidate match
91826,MITSUBISHI,XPANDER,,missing cleaned source data
86268,BMW,3 SERIES,320I,no candidate match
78673,MAZDA,3,GLS,low match score
78705,MAZDA,6,,missing cleaned source data
1701,BMW,7 SERIES,730LI,no candidate match
62574,TOYOTA,COROLLA ALTIS,V,low match score
20274,HONDA,CITY,I-DSI,low match score
10423,BMW,X,X1,no candidate match
6780,BMW,3 SERIES,330E,no candidate match
4889,BMW,3 SERIES,330E,no candidate match
40487,MERCEDES-BENZ,E-CLASS,E200,no candidate match
62603,TOYOTA,FORTUNER,SRZ,low match score
62640,TOYOTA,VIOS,GX,low match score
78762,MAZDA,6,,missing cleaned source data
610,BMW,5 SERIES,520I,no candidate match
39176,MERCEDES-BENZ,CLA-CLASS,CLA200,no candidate match
4888,BMW,X,X5,no candidate match
4899,BMW,5 SERIES,530I,no candidate match
39235,MERCEDES-BENZ,GLC-CLASS,GLC300,no candidate match
62675,TOYOTA,ESTIMA,,missing cleaned source data
4934,BMW,1 SERIES,116I,no candidate match
62717,TOYOTA,VIOS,E,low match score
11941,HONDA,CIVIC,EK,low match score
2862,BMW,7 SERIES,730LI,no candidate match
62711,TOYOTA,YARIS,E,low match score
92080,MITSUBISHI,XPANDER,,missing cleaned source data
10720,BMW,2 SERIES,218I,no candidate match
61273,TOYOTA,YARIS,E,low match score
40741,MERCEDES-BENZ,A-CLASS,A180,no candidate match
86329,BMW,5 SERIES,520I,no candidate match
39353,MERCEDES-BENZ,GLA-CLASS,GLA200,no candidate match
39356,MERCEDES-BENZ,S-CLASS,S400L,no candidate match
40788,MERCEDES-BENZ,C-CLASS,C180,no candidate match
39360,MERCEDES-BENZ,C-CLASS,C300,no candidate match
65013,TOYOTA,VIOS,E,low match score
4918,BMW,4 SERIES,430I,no candidate match
39423,MERCEDES-BENZ,C-CLASS,C200,no candidate match
61529,TOYOTA,VIOS,J,low match score
521,BMW,3 SERIES,320I,no candidate match
318,BMW,X,X1,no candidate match
39490,MERCEDES-BENZ,C-CLASS,C300,no candidate match
62784,TOYOTA,VIOS,G,low match score
62790,TOYOTA,VIOS,J,low match score
3759,BMW,3 SERIES,330I,no candidate match
40973,MERCEDES-BENZ,A-CLASS,A170,no candidate match
39517,MERCEDES-BENZ,A-CLASS,A35 AMG,no candidate match
877,BMW,1 SERIES,118I,no candidate match
20666,HONDA,CITY,I-DSI,low match score
543,BMW,5 SERIES,530E,no candidate match
106154,PERODUA,MYVI,AV,low match score
891,BMW,X,X5,no candidate match
96933,BMW,3 SERIES,328I,no candidate match
997,BMW,X,X1,no candidate match
39647,MERCEDES-BENZ,G-CLASS,G63 AMG,no candidate match
980,BMW,3 SERIES,328I,no candidate match
39658,MERCEDES-BENZ,E-CLASS,E300,no candidate match
1077,BMW,5 SERIES,520I,no candidate match
41251,MERCEDES-BENZ,A-CLASS,A180,no candidate match
56806,TOYOTA,ALPHARD,-,missing cleaned source data
92427,MITSUBISHI,PAJERO SPORT,GL,low match score
4968,BMW,5 SERIES,530I,no candidate match
41287,MERCEDES-BENZ,C-CLASS,C300,no candidate match
1240,BMW,3 SERIES,328I,no candidate match
3801,BMW,3 SERIES,330E,no candidate match
92462,MITSUBISHI,PAJERO SPORT,VGT,low match score
62904,TOYOTA,AVANZA,G,low match score
39835,MERCEDES-BENZ,C-CLASS,C43 AMG,no candidate match
4940,BMW,5 SERIES,520I,no candidate match
41356,MERCEDES-BENZ,CLA-CLASS,CLA45 AMG,no candidate match
1354,BMW,X,X7,no candidate match
39869,MERCEDES-BENZ,A-CLASS,A200,no candidate match
1393,BMW,7 SERIES,740LE,no candidate match
1467,BMW,4 SERIES,428I,no candidate match
62952,TOYOTA,RUSH,S,low match score
65161,TOYOTA,COROLLA ALTIS,G,low match score
92570,MITSUBISHI,ATTRAGE,GS,low match score
92586,MITSUBISHI,GRANDIS,,missing cleaned source data
65180,TOYOTA,VIOS,S,low match score
62961,TOYOTA,VELLFIRE,Z,low match score
58252,TOYOTA,VIOS,E,low match score
65218,TOYOTA,COROLLA CROSS,V,low match score
65248,TOYOTA,LAND CRUISER,ZX,low match score
62991,TOYOTA,VIOS,E,low match score
62972,TOYOTA,AVANZA,,missing cleaned source data
1778,BMW,5 SERIES,530E,no candidate match
63030,TOYOTA,WISH,,missing cleaned source data
114038,INOKOM,ELANTRA,,missing cleaned source data
63027,TOYOTA,VIOS,J,low match score
63057,TOYOTA,VIOS,G,low match score
63089,TOYOTA,C-HR,,missing cleaned source data
84678,VOLVO,XC90,T8,low match score
4942,BMW,X,X1,no candidate match
4970,BMW,I,I7,no candidate match
63051,TOYOTA,VIOS,E,low match score
1869,BMW,X,X5,no candidate match
92837,MITSUBISHI,OUTLANDER,,missing cleaned source data
40115,MERCEDES-BENZ,CLA-CLASS,CLA180,no candidate match
1883,BMW,5 SERIES,520I,no candidate match
1892,BMW,X,X5,no candidate match
63075,TOYOTA,SIENTA,V,low match score
92902,MITSUBISHI,ATTRAGE,GS,low match score
63094,TOYOTA,CAMRY,G,low match score
111063,TOYOTA,AVANZA,G,low match score
40171,MERCEDES-BENZ,E-CLASS,E350 E,no candidate match
90043,MCLAREN,675LT,,missing cleaned source data
40175,MERCEDES-BENZ,GLA-CLASS,GLA250,no candidate match
65315,TOYOTA,YARIS CROSS,Z,low match score
63166,TOYOTA,YARIS,E,low match score
90067,MCLAREN,600LT,,missing cleaned source data
40180,MERCEDES-BENZ,C-CLASS,C300,no candidate match
90066,MCLAREN,765LT,,missing cleaned source data
40206,MERCEDES-BENZ,A-CLASS,A250,no candidate match
63159,TOYOTA,YARIS,G,low match score
40248,MERCEDES-BENZ,A-CLASS,A200,no candidate match
2050,BMW,3 SERIES,330E,no candidate match
91716,MITSUBISHI,ASX,,missing cleaned source data
93041,MITSUBISHI,GRANDIS,,missing cleaned source data
65372,TOYOTA,COROLLA ALTIS,G,low match score
93049,MITSUBISHI,XPANDER,,missing cleaned source data
62238,TOYOTA,VIOS,G,low match score
63291,TOYOTA,WISH,G,low match score
17342,HONDA,HR-V,V,low match score
93068,MITSUBISHI,OUTLANDER,,missing cleaned source data
66008,TOYOTA,VIOS,G,low match score
5034,BMW,I,IX2,no candidate match
40315,MERCEDES-BENZ,E-CLASS,E300,no candidate match
63240,TOYOTA,INNOVA,E,low match score
65403,TOYOTA,RUSH,S,low match score
93735,NAZA,FORTE,SX,low match score
63262,TOYOTA,YARIS,E,low match score
50273,PORSCHE,PANAMERA,4S,low match score
39084,MERCEDES-BENZ,GLC-CLASS,GLC43 AMG,no candidate match
48171,PERODUA,ALZA,SE,low match score
63248,TOYOTA,VIOS,G,low match score
2213,BMW,X,X5,no candidate match
93178,MITSUBISHI,OUTLANDER,,missing cleaned source data
93190,MITSUBISHI,PAJERO SPORT,GL,low match score
7803,BMW,X,X6,no candidate match
2239,BMW,5 SERIES,530E,no candidate match
65435,TOYOTA,WISH,,missing cleaned source data
40419,MERCEDES-BENZ,GLC-CLASS,GLC300,no candidate match
42338,MERCEDES-BENZ,CLA-CLASS,CLA250,no candidate match
93246,MITSUBISHI,ASX,,missing cleaned source data
105400,PERODUA,MYVI,SE,low match score
63337,TOYOTA,YARIS,G,low match score
40470,MERCEDES-BENZ,S-CLASS,S400L,no candidate match
65489,TOYOTA,COROLLA ALTIS,G,low match score
63335,TOYOTA,WISH,X,low match score
93320,MITSUBISHI,ASX,,missing cleaned source data
63318,TOYOTA,VIOS,GR-S,low match score
104376,PERODUA,MYVI,H,low match score
57718,TOYOTA,VIOS,E,low match score
5029,BMW,1 SERIES,118I,no candidate match
57730,TOYOTA,VIOS,E,low match score
2324,BMW,1 SERIES,120I,no candidate match
40516,MERCEDES-BENZ,GLC-CLASS,GLC200,no candidate match
5024,BMW,M,M340I,no candidate match
39110,MERCEDES-BENZ,C-CLASS,C200,no candidate match
93396,MITSUBISHI,COLT,,missing cleaned source data
93400,MITSUBISHI,OUTLANDER,,missing cleaned source data
93402,MITSUBISHI,PAJERO SPORT,GS,low match score
63351,TOYOTA,SIENTA,V,low match score
40551,MERCEDES-BENZ,A-CLASS,A250,no candidate match
93431,MITSUBISHI,LANCER,GT,low match score
2420,BMW,3 SERIES,320I,no candidate match
93474,MITSUBISHI,MIRAGE,GS,low match score
63362,TOYOTA,VELOZ,,missing cleaned source data
115165,PROTON,X50,TGDI FLAGSHIP,no candidate match
63394,TOYOTA,AVANZA,G,low match score
50463,PORSCHE,CAYENNE,S,low match score
104397,PERODUA,MYVI,H,low match score
2514,BMW,X,X4,no candidate match
63433,TOYOTA,CAMRY,V,low match score
40686,MERCEDES-BENZ,GLC-CLASS,GLC300,no candidate match
5039,BMW,M,M4,no candidate match
40688,MERCEDES-BENZ,A-CLASS,A250,no candidate match
40698,MERCEDES-BENZ,GLC-CLASS,GLC300,no candidate match
5082,BMW,X,X4,no candidate match
63456,TOYOTA,VIOS,E,low match score
104447,PERODUA,ARUZ,AV,low match score
5065,BMW,5 SERIES,530I,no candidate match
93640,MITSUBISHI,ASX,,missing cleaned source data
63437,TOYOTA,INNOVA,X,low match score
63425,TOYOTA,ALPHARD,G SA,low match score
104469,PERODUA,ARUZ,X,low match score
93663,MITSUBISHI,LANCER,GT,low match score
63461,TOYOTA,CAMRY,G,low match score
93677,MITSUBISHI,GRANDIS,,missing cleaned source data
100527,MERCEDES-BENZ,CLA-CLASS,CLA200,no candidate match
8332,BMW,X,X1,no candidate match
93732,NAZA,FORTE,SX,low match score
65687,TOYOTA,VIOS,G,low match score
107279,PERODUA,MYVI,EZI,low match score
56910,TOYOTA,RUSH,S,low match score
5093,BMW,I,IX2,no candidate match
66196,TOYOTA,SIENTA,V,low match score
63526,TOYOTA,INNOVA,X,low match score
5088,BMW,5 SERIES,528I,no candidate match
65734,TOYOTA,COROLLA ALTIS,E,low match score
5118,BMW,I,I4,no candidate match
63542,TOYOTA,VIOS,G,low match score
63559,TOYOTA,INNOVA,G,low match score
40845,MERCEDES-BENZ,C-CLASS,C350 E,no candidate match
63549,TOYOTA,VIOS,J,low match score
63534,TOYOTA,SIENTA,V,low match score
65731,TOYOTA,CAMRY,G,low match score
63585,TOYOTA,CAMRY,G,low match score
65738,TOYOTA,VELLFIRE,X,low match score
2798,BMW,3 SERIES,330I,no candidate match
93985,NISSAN,X-TRAIL,4WD,low match score
40921,MERCEDES-BENZ,EQ,EQS 450+,no candidate match
63607,TOYOTA,MARK X,GS,low match score
2826,BMW,M,M2,no candidate match
63615,TOYOTA,MARK X,GS,low match score
63609,TOYOTA,SIENTA,V,low match score
65767,TOYOTA,VIOS,J,low match score
5121,BMW,7 SERIES,730LI,no candidate match
63584,TOYOTA,YARIS,G,low match score
42415,MERCEDES-BENZ,C-CLASS,C300,no candidate match
2893,BMW,3 SERIES,320I,no candidate match
2906,BMW,7 SERIES,740LE,no candidate match
63659,TOYOTA,YARIS,G,low match score
63648,TOYOTA,FORTUNER,SRZ,low match score
63665,TOYOTA,SIENTA,V,low match score
41028,MERCEDES-BENZ,GLC-CLASS,GLC43 AMG,no candidate match
2986,BMW,3 SERIES,318I,no candidate match
42423,MERCEDES-BENZ,CLA-CLASS,CLA45 AMG,no candidate match
63762,TOYOTA,COROLLA ALTIS,G,low match score
63751,TOYOTA,VIOS,E,low match score
40639,MERCEDES-BENZ,A-CLASS,A250,no candidate match
5179,BMW,3 SERIES,330I,no candidate match
63812,TOYOTA,CAMRY,V,low match score
23514,HONDA,WR-V,RS,low match score
41095,MERCEDES-BENZ,A-CLASS,A180,no candidate match
63822,TOYOTA,COROLLA ALTIS,G,low match score
41109,MERCEDES-BENZ,CLA-CLASS,CLA250,no candidate match
58207,TOYOTA,VELLFIRE,Z,low match score
3027,BMW,X,X5,no candidate match
65861,TOYOTA,VIOS,E,low match score
5192,BMW,7 SERIES,730LD,no candidate match
65843,TOYOTA,WISH,X,low match score
3118,BMW,5 SERIES,530I,no candidate match
94298,NISSAN,NV350 URVAN,,missing cleaned source data
94326,NISSAN,X-TRAIL,,missing cleaned source data
5053,BMW,3 SERIES,320I,no candidate match
113021,TOYOTA,COROLLA ALTIS,G,low match score
107323,PERODUA,MYVI,G,low match score
113022,TOYOTA,AVANZA,G,low match score
113031,TOYOTA,UNSER,GLI,low match score
3136,BMW,X,X4,no candidate match
5045,BMW,X,X3,no candidate match
42650,MERCEDES-BENZ,C-CLASS,C180 CGI,no candidate match
43504,MERCEDES-BENZ,C-CLASS,C300,no candidate match
66305,TOYOTA,ALPHARD,G,low match score
50735,PORSCHE,PANAMERA,,missing cleaned source data
3151,BMW,X,X1,no candidate match
113069,TOYOTA,AVANZA,E,low match score
113110,TOYOTA,UNSER,LGX,low match score
54600,TOYOTA,CAMRY,V,low match score
113125,TOYOTA,VIOS,G,low match score
3238,BMW,5 SERIES,530I,no candidate match
88460,HONDA,STREAM,IV,low match score
5219,BMW,7 SERIES,740LE,no candidate match
113166,TOYOTA,VIOS,J,low match score
64430,TOYOTA,WISH,Z,low match score
107828,PERODUA,ALZA,EZI,low match score
113191,TOYOTA,YARIS,J,low match score
113197,TOYOTA,SIENTA,V,low match score
94703,NISSAN,ALMERA,E,low match score
113201,TOYOTA,LAND CRUISER PRADO,,missing cleaned source data
113206,TOYOTA,COROLLA ALTIS,G,low match score
113219,TOYOTA,VIOS,E,low match score
113225,TOYOTA,CAMRY,V,low match score
64359,TOYOTA,VIOS,E,low match score
41290,MERCEDES-BENZ,GLA-CLASS,GLA250,no candidate match
113245,TOYOTA,CAMRY,V,low match score
64389,TOYOTA,INNOVA,X,low match score
41312,MERCEDES-BENZ,E-CLASS,E200,no candidate match
64375,TOYOTA,VIOS,G,low match score
41323,MERCEDES-BENZ,C-CLASS,C180,no candidate match
66015,TOYOTA,VIOS,G,low match score
64410,TOYOTA,WISH,S,low match score
66055,TOYOTA,RAV4,,missing cleaned source data
64465,TOYOTA,LY100R,,missing cleaned source data
29722,PROTON,X50,STANDARD,no candidate match
41357,MERCEDES-BENZ,C-CLASS,C200,no candidate match
39264,MERCEDES-BENZ,S-CLASS,S400L,no candidate match
5309,BMW,5 SERIES,528I,no candidate match
3415,BMW,X,X1,no candidate match
3418,BMW,5 SERIES,520I,no candidate match
64542,TOYOTA,CAMRY,G X,low match score
5323,BMW,I,I7,no candidate match
41419,MERCEDES-BENZ,C-CLASS,C300,no candidate match
64583,TOYOTA,SIENTA,V,low match score
94790,NISSAN,TEANA,XV,low match score
64589,TOYOTA,CAMRY,G,low match score
41474,MERCEDES-BENZ,GLA-CLASS,GLA250,no candidate match
64592,TOYOTA,VIOS,E,low match score
64570,TOYOTA,YARIS,E,low match score
54649,TOYOTA,AVANZA,G,low match score
64600,TOYOTA,YARIS,G,low match score
64606,TOYOTA,COROLLA ALTIS,G,low match score
41510,MERCEDES-BENZ,E-CLASS,E300,no candidate match
64671,TOYOTA,INNOVA,E,low match score
74622,KIA,PICANTO,EX,low match score
5315,BMW,I,IX,no candidate match
41590,MERCEDES-BENZ,C-CLASS,C250,no candidate match
64689,TOYOTA,CAMRY,V,low match score
64736,TOYOTA,LAND CRUISER CYGNUS,,missing cleaned source data
39303,MERCEDES-BENZ,GLC-CLASS,GLC250,no candidate match
41626,MERCEDES-BENZ,A-CLASS,A250,no candidate match
3516,BMW,X,X5,no candidate match
3473,BMW,2 SERIES,218I,no candidate match
64769,TOYOTA,VIOS,E,low match score
60669,TOYOTA,INNOVA,G,low match score
41699,MERCEDES-BENZ,C-CLASS,C300,no candidate match
64847,TOYOTA,VIOS,G,low match score
41727,MERCEDES-BENZ,GLE-CLASS,GLE43,no candidate match
41756,MERCEDES-BENZ,C-CLASS,C200,no candidate match
75085,KIA,SPORTAGE,,missing cleaned source data
5376,BMW,5 SERIES,530I,no candidate match
61371,TOYOTA,VELLFIRE,X,low match score
41895,MERCEDES-BENZ,C-CLASS,C200,no candidate match
21072,HONDA,STREAM,RSZ,low match score
3602,BMW,3 SERIES,320I,no candidate match
15032,HONDA,CIVIC,EXI,low match score
41914,MERCEDES-BENZ,C-CLASS,C300,no candidate match
65027,TOYOTA,CAMRY,V,low match score
25169,HONDA,CR-V,,missing cleaned source data
65033,TOYOTA,FORTUNER,V,low match score
31261,PROTON,X50,TGDI FLAGSHIP,no candidate match
65082,TOYOTA,FJ CRUISER,,missing cleaned source data
3635,BMW,7 SERIES,740LE,no candidate match
61556,TOYOTA,VIOS,E,low match score
65102,TOYOTA,VELLFIRE,X,low match score
56820,TOYOTA,INNOVA,G,low match score
3648,BMW,3 SERIES,320I,no candidate match
3703,BMW,X,X5,no candidate match
31469,PROTON,X50,PREMIUM,no candidate match
66201,TOYOTA,VIOS,J,low match score
66227,TOYOTA,CAMRY,G X,low match score
5421,BMW,5 SERIES,530I,no candidate match
30858,PROTON,X50,PREMIUM,no candidate match
58785,TOYOTA,VIOS,G,low match score
66263,TOYOTA,COROLLA ALTIS,G,low match score
42236,MERCEDES-BENZ,S-CLASS,S63 AMG,no candidate match
116209,PROTON,WIRA,GL,low match score
42282,MERCEDES-BENZ,GLC-CLASS,GLC300,no candidate match
65253,TOYOTA,VIOS,G,low match score
107452,PERODUA,MYVI,X,low match score
58779,TOYOTA,CAMRY,G X,low match score
65282,TOYOTA,ALPHARD,G,low match score
3773,BMW,3 SERIES,330I,no candidate match
65314,TOYOTA,WISH,S,low match score
65309,TOYOTA,YARIS,E,low match score
65397,TOYOTA,CAMRY,V,low match score
65355,TOYOTA,VIOS,J,low match score
65407,TOYOTA,CAMRY,V,low match score
9040,BMW,I,IX,no candidate match
65422,TOYOTA,SIENTA,V,low match score
65430,TOYOTA,VIOS,E,low match score
107474,PERODUA,ATIVA,AV,low match score
95557,NISSAN,SERENA,,missing cleaned source data
42470,MERCEDES-BENZ,C-CLASS,C300,no candidate match
3804,BMW,3 SERIES,330E,no candidate match
42488,MERCEDES-BENZ,E-CLASS,E280,no candidate match
5542,BMW,X,X3,no candidate match
65468,TOYOTA,COROLLA ALTIS,G,low match score
5562,BMW,X,X1,no candidate match
116257,PROTON,X50,TGDI FLAGSHIP,no candidate match
42549,MERCEDES-BENZ,G-CLASS,G350,no candidate match
5490,BMW,3 SERIES,330E,no candidate match
107494,PERODUA,MYVI,X,low match score
95579,PEUGEOT,3008,,missing cleaned source data
42667,MERCEDES-BENZ,E-CLASS,E200,no candidate match
42588,MERCEDES-BENZ,GLC-CLASS,GLC300,no candidate match
39427,MERCEDES-BENZ,SLK-CLASS,SLK200,no candidate match
3882,BMW,3 SERIES,330E,no candidate match
42629,MERCEDES-BENZ,C-CLASS,C200 CGI,no candidate match
42632,MERCEDES-BENZ,S-CLASS,S300L,no candidate match
42649,MERCEDES-BENZ,E-CLASS,E300,no candidate match
116293,PROTON,X50,EXECUTIVE,no candidate match
42672,MERCEDES-BENZ,G-CLASS,G63 AMG,no candidate match
65676,TOYOTA,COROLLA ALTIS,V,low match score
42684,MERCEDES-BENZ,C-CLASS,C43 AMG,no candidate match
42680,MERCEDES-BENZ,G-CLASS,G350,no candidate match
42686,MERCEDES-BENZ,C-CLASS,C300,no candidate match
39443,MERCEDES-BENZ,C-CLASS,C200,no candidate match
65719,TOYOTA,INNOVA,G,low match score
3902,BMW,2 SERIES,218I,no candidate match
65732,TOYOTA,VIOS,E,low match score
42701,MERCEDES-BENZ,GLC-CLASS,GLC250,no candidate match
43147,MERCEDES-BENZ,E-CLASS,E200 CGI,no candidate match
5684,BMW,I,IX3,no candidate match
43293,MERCEDES-BENZ,A-CLASS,A250,no candidate match
65778,TOYOTA,AVANZA,G,low match score
116320,PROTON,X50,EXECUTIVE,no candidate match
5699,BMW,X,X3,no candidate match
58251,TOYOTA,VIOS,E,low match score
42711,MERCEDES-BENZ,EQ,EQC 400,no candidate match
27780,LEXUS,CT200H,,missing cleaned source data
39467,MERCEDES-BENZ,C-CLASS,C200,no candidate match
116335,PROTON,X50,TGDI FLAGSHIP,no candidate match
27863,LEXUS,NX200T,,missing cleaned source data
73611,ISUZU,NPR66,,missing cleaned source data
65856,TOYOTA,YARIS,E,low match score
107544,PERODUA,ARUZ,X,low match score
4061,BMW,X,X1,no candidate match
107551,PERODUA,MYVI,X,low match score
3885,BMW,X,X3,no candidate match
4083,BMW,2 SERIES,218I,no candidate match
28003,LEXUS,LX570,,missing cleaned source data
42727,MERCEDES-BENZ,C-CLASS,C300,no candidate match
95826,VOLKSWAGEN,JETTA,TSI,low match score
43694,MERCEDES-BENZ,E-CLASS,E250,no candidate match
65927,TOYOTA,YARIS,G,low match score
39494,MERCEDES-BENZ,C-CLASS,C350 E,no candidate match
84082,VOLKSWAGEN,GOLF,GTI,low match score
116354,PROTON,X50,TGDI FLAGSHIP,no candidate match
39497,MERCEDES-BENZ,C-CLASS,C250,no candidate match
105280,PERODUA,ARUZ,AV,low match score
65973,TOYOTA,DYNA,,missing cleaned source data
65965,TOYOTA,YARIS,G,low match score
3967,BMW,X,X5,no candidate match
3957,BMW,X,X4,no candidate match
42734,MERCEDES-BENZ,GLA-CLASS,GLA250,no candidate match
43971,MERCEDES-BENZ,A-CLASS,A35 AMG,no candidate match
98888,PROTON,X50,TGDI FLAGSHIP,no candidate match
105297,PERODUA,MYVI,AV,low match score
107573,PERODUA,MYVI,AV,low match score
42740,MERCEDES-BENZ,A-CLASS,A200,no candidate match
107572,PERODUA,MYVI,SE,low match score
43187,MERCEDES-BENZ,G-CLASS,G63 AMG,no candidate match
66041,TOYOTA,VIOS,E,low match score
66060,TOYOTA,WISH,S,low match score
4172,BMW,5 SERIES,530I,no candidate match
66058,TOYOTA,VIOS,E,low match score
39515,MERCEDES-BENZ,C-CLASS,C43 AMG,no candidate match
66072,TOYOTA,AVANZA,G,low match score
66111,TOYOTA,FJ CRUISER,,missing cleaned source data
3963,BMW,2 SERIES,218I,no candidate match
4241,BMW,3 SERIES,330E,no candidate match
44223,MERCEDES-BENZ,CLA-CLASS,CLA35 AMG,no candidate match
39521,MERCEDES-BENZ,C-CLASS,C200,no candidate match
42754,MERCEDES-BENZ,E-CLASS,E200,no candidate match
4242,BMW,2 SERIES,218I,no candidate match
5890,BMW,3 SERIES,318I,no candidate match
95954,VOLKSWAGEN,GOLF,GTI,low match score
39526,MERCEDES-BENZ,C-CLASS,C200,no candidate match
3975,BMW,X,X5,no candidate match
66176,TOYOTA,COROLLA SPORT,G Z,low match score
6033,BMW,X,X3,no candidate match
66181,TOYOTA,CAMRY,G X,low match score
42755,MERCEDES-BENZ,C-CLASS,C200,no candidate match
81316,VOLKSWAGEN,GOLF,,missing cleaned source data
4036,BMW,3 SERIES,330E,no candidate match
42756,MERCEDES-BENZ,GLC-CLASS,GLC300,no candidate match
39532,MERCEDES-BENZ,GLC-CLASS,GLC250,no candidate match
4247,BMW,2 SERIES,218I,no candidate match
4049,BMW,7 SERIES,740LE,no candidate match
42758,MERCEDES-BENZ,A-CLASS,A180,no candidate match
88861,PROTON,X50,EXECUTIVE,no candidate match
66259,TOYOTA,LAND CRUISER PRADO,TX L,low match score
66242,TOYOTA,VIOS,J,low match score
66312,TOYOTA,ESTIMA,,missing cleaned source data
66304,TOYOTA,YARIS,E,low match score
4327,BMW,3 SERIES,328I,no candidate match
4074,BMW,3 SERIES,320I,no candidate match
44464,MERCEDES-BENZ,C-CLASS,C200,no candidate match
42766,MERCEDES-BENZ,E-CLASS,E200 CGI,no candidate match
9301,BMW,I,IX,no candidate match
44482,MERCEDES-BENZ,GLC-CLASS,GLC43 AMG,no candidate match
42745,MERCEDES-BENZ,G-CLASS,G350,no candidate match
66889,ASTON MARTIN,RAPIDE,S,low match score
30222,PROTON,X50,PREMIUM,no candidate match
116423,PROTON,X50,TGDI FLAGSHIP,no candidate match
44549,MERCEDES-BENZ,AMG GT,AMG GT 63 S,low match score
44550,MERCEDES-BENZ,A-CLASS,A250,no candidate match
89012,PROTON,X50,STANDARD,no candidate match
4440,BMW,X,X5,no candidate match
4448,BMW,X,X5,no candidate match
4458,BMW,3 SERIES,320I,no candidate match
9321,BMW,5 SERIES,530E,no candidate match
105536,PERODUA,ARUZ,AV,low match score
44680,MERCEDES-BENZ,E-CLASS,E250,no candidate match
